"searchTerm","semanticTags","confidence","annotatedProperty.propertyValue","derivedFrom.provenance.source.type"
"Hash Brown","http://purl.obolibrary.org/obo/FOODON_03310607","MEDIUM","potato hash brown","ONTOLOGY"
"Hash Brown","http://purl.obolibrary.org/obo/FOODON_03311317","MEDIUM","beef hash","ONTOLOGY"
"Waitrose 1 Cornish Pasty 200g","http://purl.obolibrary.org/obo/FOODON_03411591","MEDIUM","Rock Cornish game hen","ONTOLOGY"
"Waitrose 1 Cornish Pasty 200g","http://purl.obolibrary.org/obo/FOODON_03307066","MEDIUM","cornish cross chicken (raw)","ONTOLOGY"
"The Big Prawn Co. Big & Juicy Pint of Prawns 350g","http://purl.obolibrary.org/obo/NCBITaxon_341241","MEDIUM","Raja binoculata","ONTOLOGY"
"The Big Prawn Co. Big & Juicy Pint of Prawns 350g","http://purl.obolibrary.org/obo/NCBITaxon_87785","MEDIUM","Atherina boyeri","ONTOLOGY"
"Chocolate, dark, 45-59% Cocoa","http://purl.obolibrary.org/obo/FOODON_03303588","GOOD","dark chocolate","ONTOLOGY"
"Almonds, with skin","http://purl.obolibrary.org/obo/FOODON_00003330","MEDIUM","chicken thigh (with skin)","ONTOLOGY"
"Almonds, with skin","http://purl.obolibrary.org/obo/FOODON_03541120","MEDIUM","11200 - almonds (efsa foodex2)","ONTOLOGY"
"Bread, white, toasted","http://purl.obolibrary.org/obo/FOODON_03301055","MEDIUM","white bread","ONTOLOGY"
"Bread, white, toasted","http://purl.obolibrary.org/obo/FOODON_03311120","MEDIUM","white bread crust","ONTOLOGY"
"Bacon rashers, back, grilled","http://purl.obolibrary.org/obo/FOODON_00003150","MEDIUM","back bacon","ONTOLOGY"
"Bacon rashers, back, grilled","http://purl.obolibrary.org/obo/FOODON_03304118","MEDIUM","onion (grilled)","ONTOLOGY"
"Sausages, pork, raw","http://purl.obolibrary.org/obo/FOODON_03302735","MEDIUM","pork (raw)","ONTOLOGY"
"Sausages, pork, raw","http://purl.obolibrary.org/obo/FOODON_03401692","MEDIUM","10005840 - pork sausages - prepared/processed (gs1 gpc)","ONTOLOGY"
"Black pudding fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03311693","MEDIUM","tomato (dried in sunflower oil)","ONTOLOGY"
"Black pudding fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_00002557","MEDIUM","black pudding","ONTOLOGY"
"Milbona, emmental, slices","http://purl.obolibrary.org/obo/FOODON_03542874","MEDIUM","28740 - cheese, emmental (efsa foodex2)","ONTOLOGY"
"Milbona, emmental, slices","http://purl.obolibrary.org/obo/FOODON_03305077","MEDIUM","beet slices with garlic (pickled)","ONTOLOGY"
"Heinz, Mayonnaise","http://purl.obolibrary.org/obo/FOODON_03301440","MEDIUM","mayonnaise","ONTOLOGY"
"Heinz, Mayonnaise","http://purl.obolibrary.org/obo/FOODON_03306407","MEDIUM","diabetic mayonnaise","ONTOLOGY"
"Bread, white, French stick","http://purl.obolibrary.org/obo/FOODON_03308383","MEDIUM","fish stick (french-fried)","ONTOLOGY"
"Bread, white, French stick","http://purl.obolibrary.org/obo/FOODON_03301055","MEDIUM","white bread","ONTOLOGY"
"Lettuce, average, raw","http://purl.obolibrary.org/obo/FOODON_03306125","MEDIUM","head lettuce (whole, raw)","ONTOLOGY"
"Lettuce, average, raw","http://purl.obolibrary.org/obo/FOODON_03306127","MEDIUM","romaine lettuce head (raw)","ONTOLOGY"
"Potato chips, oven ready, no batter, baked","http://purl.obolibrary.org/obo/FOODON_03310163","MEDIUM","frankfurter (oven-baked)","ONTOLOGY"
"Potato chips, oven ready, no batter, baked","http://purl.obolibrary.org/obo/FOODON_03310169","MEDIUM","chicken thigh (oven-baked)","ONTOLOGY"
"Sainsbury's Pickled Shallots In Malt Vinegar 465g","http://purl.obolibrary.org/obo/FOODON_03301229","MEDIUM","malt vinegar","ONTOLOGY"
"Sainsbury's Pickled Shallots In Malt Vinegar 465g","http://purl.obolibrary.org/obo/FOODON_03315365","MEDIUM","food (pickled, with vinegar)","ONTOLOGY"
"Cheese, Cheddar, English","http://purl.obolibrary.org/obo/FOODON_03302458","MEDIUM","cheddar cheese","ONTOLOGY"
"Cheese, Cheddar, English","http://purl.obolibrary.org/obo/FOODON_03302993","MEDIUM","pasteurized process cheddar cheese","ONTOLOGY"
"Cheese, Stilton, blue","http://purl.obolibrary.org/obo/FOODON_03303870","MEDIUM","stilton cheese","ONTOLOGY"
"Cheese, Stilton, blue","http://purl.obolibrary.org/obo/FOODON_00002421","MEDIUM","cambozola cheese","ONTOLOGY"
"Crackers, Espelta Bachman","http://purl.obolibrary.org/obo/FOODON_03540147","GOOD","01470 - crackers and breadsticks (efsa foodex2)","ONTOLOGY"
"Lager, premium","http://purl.obolibrary.org/obo/FOODON_03543333","GOOD","33330 - lager beer (efsa foodex2)","ONTOLOGY"
"Port","http://purl.obolibrary.org/obo/FOODON_03311271","MEDIUM","port wine","ONTOLOGY"
"Port","http://purl.obolibrary.org/obo/FOODON_03309495","MEDIUM","port nectar","ONTOLOGY"
"Biscuits, iced","http://purl.obolibrary.org/obo/FOODON_03307685","MEDIUM","iced tea (lemon-flavored)","ONTOLOGY"
"Biscuits, iced","http://purl.obolibrary.org/obo/FOODON_03301530","MEDIUM","iced tea (liquid)","ONTOLOGY"
"Coleslaw, not low calorie, retail","http://purl.obolibrary.org/obo/FOODON_03315839","MEDIUM","low calorie food","ONTOLOGY"
"Coleslaw, not low calorie, retail","http://purl.obolibrary.org/obo/FOODON_03311727","MEDIUM","spread, low calorie","ONTOLOGY"
"Pasta, white, spaghetti, dried, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306312","MEDIUM","pasta (dried)","ONTOLOGY"
"Pasta, white, spaghetti, dried, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03302337","MEDIUM","white bread (unsalted, enriched)","ONTOLOGY"
"Sausages, premium, grilled","http://purl.obolibrary.org/obo/FOODON_03316884","MEDIUM","fish (grilled)","ONTOLOGY"
"Sausages, premium, grilled","http://purl.obolibrary.org/obo/FOODON_03304118","MEDIUM","onion (grilled)","ONTOLOGY"
"Garlic, raw","http://purl.obolibrary.org/obo/FOODON_03305208","GOOD","garlic bulb (whole, raw)","ONTOLOGY"
"Parsley, fresh","http://purl.obolibrary.org/obo/NCBITaxon_4043","MEDIUM","Petroselinum crispum","ONTOLOGY"
"Parsley, fresh","http://purl.obolibrary.org/obo/NCBITaxon_663597","MEDIUM","Petroselinum crispum Neapolitanum Group","ONTOLOGY"
"Warburtons 6 Soft White Rolls Sliced","http://purl.obolibrary.org/obo/FOODON_00003424","MEDIUM","soft white wheat kernel","ONTOLOGY"
"Warburtons 6 Soft White Rolls Sliced","http://purl.obolibrary.org/obo/FOODON_03540122","MEDIUM","01220 - wheat bread and rolls, white with rice (efsa foodex2)","ONTOLOGY"
"WHOPPER(R) Junior","http://purl.obolibrary.org/obo/FOODON_03310944","MEDIUM","carrot junior food","ONTOLOGY"
"WHOPPER(R) Junior","http://purl.obolibrary.org/obo/FOODON_03311136","MEDIUM","mixed vegetables or garden vegetables (strained or junior food in jar)","ONTOLOGY"
"Raspberries, raw","http://purl.obolibrary.org/obo/FOODON_03401444","MEDIUM","10005927 - raspberries (gs1 gpc)","ONTOLOGY"
"Raspberries, raw","http://purl.obolibrary.org/obo/FOODON_03541559","MEDIUM","15590 - korean raspberries (efsa foodex2)","ONTOLOGY"
"Essential Waitrose Salted Mixed Nuts 175g","http://purl.obolibrary.org/obo/FOODON_03301367","MEDIUM","nuts (mixed)","ONTOLOGY"
"Essential Waitrose Salted Mixed Nuts 175g","http://purl.obolibrary.org/obo/FOODON_03315618","MEDIUM","salted sticks","ONTOLOGY"
"Pigeon, meat only, roasted","http://purl.obolibrary.org/obo/FOODON_03541978","MEDIUM","19780 - pigeon fresh meat (efsa foodex2)","ONTOLOGY"
"Pigeon, meat only, roasted","http://purl.obolibrary.org/obo/FOODON_03400741","MEDIUM","036  poultry meat (including pigeon meat) (pm) (ccpr)","ONTOLOGY"
"Beetroot, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","GOOD","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Onions, baked","http://purl.obolibrary.org/obo/FOODON_03311876","MEDIUM","chicken (baked)","ONTOLOGY"
"Onions, baked","http://purl.obolibrary.org/obo/FOODON_03311653","MEDIUM","turkey breast (roasted)","ONTOLOGY"
"Mixed Salad Leaves","http://purl.obolibrary.org/obo/FOODON_03544021","MEDIUM","40210 - mixed green salad (efsa foodex2)","ONTOLOGY"
"Mixed Salad Leaves","http://purl.obolibrary.org/obo/FOODON_03544022","MEDIUM","40220 - mixed vegetable salad (efsa foodex2)","ONTOLOGY"
"Oysters, raw","http://purl.obolibrary.org/obo/FOODON_03542529","GOOD","25290 - oysters (efsa foodex2)","ONTOLOGY"
"Courgette, fried in rapeseed oil","http://purl.obolibrary.org/obo/FOODON_03310482","MEDIUM","rapeseed oil","ONTOLOGY"
"Courgette, fried in rapeseed oil","http://purl.obolibrary.org/obo/FOODON_03310855","MEDIUM","rapeseed oil press cake","ONTOLOGY"
"Yutaka Miso Paste 100g","http://purl.obolibrary.org/obo/FOODON_00003208","MEDIUM","miso","ONTOLOGY"
"Yutaka Miso Paste 100g","http://purl.obolibrary.org/obo/FOODON_03315474","MEDIUM","miso pickle","ONTOLOGY"
"Chicken breast in crumbs, chilled, fried","http://purl.obolibrary.org/obo/FOODON_03307827","MEDIUM","chicken (fried)","ONTOLOGY"
"Chicken breast in crumbs, chilled, fried","http://purl.obolibrary.org/obo/FOODON_03311611","MEDIUM","chicken (battered, deep-fried)","ONTOLOGY"
"Mayonnaise, standard, retail","http://purl.obolibrary.org/obo/FOODON_03301440","MEDIUM","mayonnaise","ONTOLOGY"
"Mayonnaise, standard, retail","http://purl.obolibrary.org/obo/FOODON_03306407","MEDIUM","diabetic mayonnaise","ONTOLOGY"
"Mustard, Dijon","http://purl.obolibrary.org/obo/FOODON_03306361","GOOD","mustard (dijon)","ONTOLOGY"
"Rice Vinegar","http://purl.obolibrary.org/obo/FOODON_03307370","MEDIUM","rice wine vinegar","ONTOLOGY"
"Rice Vinegar","http://purl.obolibrary.org/obo/FOODON_03301705","MEDIUM","vinegar","ONTOLOGY"
"Raw Apple Cider Vinegar 1L","http://purl.obolibrary.org/obo/FOODON_00001276","MEDIUM","apple cider (alcoholic)","ONTOLOGY"
"Raw Apple Cider Vinegar 1L","http://purl.obolibrary.org/obo/FOODON_03301755","MEDIUM","distilled vinegar (apple cider-flavored)","ONTOLOGY"
"Coca-Cola Original Taste 330ml","http://purl.obolibrary.org/obo/FOODON_03400447","MEDIUM","taste removing agent (codex)","ONTOLOGY"
"Coca-Cola Original Taste 330ml","http://purl.obolibrary.org/obo/FOODON_03412053","MEDIUM","coca plant","ONTOLOGY"
"Chicken, breast, grilled without skin, meat only","http://purl.obolibrary.org/obo/FOODON_03420268","MEDIUM","skeletal meat part, without bone, without skin","ONTOLOGY"
"Chicken, breast, grilled without skin, meat only","http://purl.obolibrary.org/obo/FOODON_03420266","MEDIUM","skeletal meat part, with bone, without skin","ONTOLOGY"
"Essential Waitrose Wholegrain Blueberry Wheats 500g","http://purl.obolibrary.org/obo/NCBITaxon_69266","MEDIUM","Vaccinium corymbosum","ONTOLOGY"
"Essential Waitrose Wholegrain Blueberry Wheats 500g","http://purl.obolibrary.org/obo/NCBITaxon_472369","MEDIUM","Vaccinium angustifolium","ONTOLOGY"
"Oat Milk, unsweetened, Oatly","http://purl.obolibrary.org/obo/FOODON_03542721","MEDIUM","27210 - evaporated milk (liquid, unsweetened) (efsa foodex2)","ONTOLOGY"
"Oat Milk, unsweetened, Oatly","http://purl.obolibrary.org/obo/FOODON_03510105","MEDIUM","unsweetened claim or use","ONTOLOGY"
"Pasta, with tomato sauce","http://purl.obolibrary.org/obo/FOODON_03304026","MEDIUM","tomato sauce with tomato chunks","ONTOLOGY"
"Pasta, with tomato sauce","http://purl.obolibrary.org/obo/FOODON_03543963","MEDIUM","39630 - pasta, cooked, with mixed sauce (efsa foodex2)","ONTOLOGY"
"Stout, Guinness","http://purl.obolibrary.org/obo/FOODON_03414103","GOOD","stout skate","ONTOLOGY"
"Snacking Essentials Yoghurt Peanuts 100g","http://purl.obolibrary.org/obo/FOODON_03401048","MEDIUM","10000278 - yoghurt/yoghurt substitutes (perishable) (gs1 gpc)","ONTOLOGY"
"Snacking Essentials Yoghurt Peanuts 100g","http://purl.obolibrary.org/obo/FOODON_03541181","MEDIUM","11810 - peanuts (efsa foodex2)","ONTOLOGY"
"Pineapple juice, fresh","http://purl.obolibrary.org/obo/FOODON_03301276","MEDIUM","pineapple juice (liquid)","ONTOLOGY"
"Pineapple juice, fresh","http://purl.obolibrary.org/obo/FOODON_03304098","MEDIUM","pineapple and orange juice","ONTOLOGY"
"Waitrose Good to Go Pastrami & Emmental","http://purl.obolibrary.org/obo/FOODON_00003884","MEDIUM","pastrami","ONTOLOGY"
"Waitrose Good to Go Pastrami & Emmental","http://purl.obolibrary.org/obo/FOODON_03542128","MEDIUM","21280 - pastrami, pork (efsa foodex2)","ONTOLOGY"
"Waitrose 9 All Butter Almond Viennese Swirls 125g","http://purl.obolibrary.org/obo/FOODON_03310875","GOOD","almond butter","ONTOLOGY"
"Burger, Quarter Pounder with cheese, takeaway","http://purl.obolibrary.org/obo/FOODON_03304655","MEDIUM","cheese ravioli with cheese sauce","ONTOLOGY"
"Burger, Quarter Pounder with cheese, takeaway","http://purl.obolibrary.org/obo/FOODON_03302983","MEDIUM","cheese (natural with margarine)","ONTOLOGY"
"Alpro, oat drink original, chilled","http://purl.obolibrary.org/obo/FOODON_03317226","MEDIUM","caviar (chilled)","ONTOLOGY"
"Alpro, oat drink original, chilled","http://purl.obolibrary.org/obo/FOODON_00002642","MEDIUM","food (chilled)","ONTOLOGY"
"Polish Specialities Sliced Gherkins 660g","http://purl.obolibrary.org/obo/FOODON_03430137","GOOD","sliced","ONTOLOGY"
"Coconut milk, canned","http://purl.obolibrary.org/obo/FOODON_03307018","MEDIUM","peach coconut-flavored canned","ONTOLOGY"
"Coconut milk, canned","http://purl.obolibrary.org/obo/FOODON_03303084","MEDIUM","coconut milk","ONTOLOGY"
"Kohinoor Delhi Butter Chicken Cooking Sauce 375g","http://purl.obolibrary.org/obo/FOODON_03302627","MEDIUM","butter sauce","ONTOLOGY"
"Kohinoor Delhi Butter Chicken Cooking Sauce 375g","http://purl.obolibrary.org/obo/FOODON_03307689","MEDIUM","french butter sauce","ONTOLOGY"
"Sugam Paneer Full Fat Soft Cheese 0.224kg","http://purl.obolibrary.org/obo/FOODON_03401215","MEDIUM","full fat cheese (codex)","ONTOLOGY"
"Sugam Paneer Full Fat Soft Cheese 0.224kg","http://purl.obolibrary.org/obo/FOODON_03310700","MEDIUM","cheese soft","ONTOLOGY"
"Potatoes, old, boiled in unsalted water, flesh only","http://purl.obolibrary.org/obo/FOODON_03306860","GOOD","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Beans, green/French, frozen, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","MEDIUM","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Beans, green/French, frozen, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03303923","MEDIUM","green bean french-style frozen","ONTOLOGY"
"Waitrose Good to Go Tuna Mayo & Sweetcorn","http://purl.obolibrary.org/obo/FOODON_03411269","GOOD","tuna","ONTOLOGY"
"Magnum White","http://purl.obolibrary.org/obo/PATO_0000323","MEDIUM","white","ONTOLOGY"
"Magnum White","http://purl.obolibrary.org/obo/NCBITaxon_64468","MEDIUM","Penaeus setiferus","ONTOLOGY"
"Doritos Cool Original Tortilla Chips 55g","http://purl.obolibrary.org/obo/FOODON_03544040","MEDIUM","40400 - tortilla chips (efsa foodex2)","ONTOLOGY"
"Doritos Cool Original Tortilla Chips 55g","http://purl.obolibrary.org/obo/FOODON_03307668","MEDIUM","tortilla","ONTOLOGY"
"Porridge, made with milk and water","http://purl.obolibrary.org/obo/FOODON_00001270","MEDIUM","water buffalo milk beverage","ONTOLOGY"
"Porridge, made with milk and water","http://purl.obolibrary.org/obo/FOODON_03542664","MEDIUM","26640 - water buffalo milk (efsa foodex2)","ONTOLOGY"
"Pasta, white, dried, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306312","MEDIUM","pasta (dried)","ONTOLOGY"
"Pasta, white, dried, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03302337","MEDIUM","white bread (unsalted, enriched)","ONTOLOGY"
"Oil, olive","http://purl.obolibrary.org/obo/FOODON_03301826","MEDIUM","olive oil","ONTOLOGY"
"Oil, olive","http://purl.obolibrary.org/obo/FOODON_03306635","MEDIUM","imitation olive oil","ONTOLOGY"
"Cheese, Parmesan, fresh","http://purl.obolibrary.org/obo/FOODON_00003247","MEDIUM","parmesan cheese","ONTOLOGY"
"Cheese, Parmesan, fresh","http://purl.obolibrary.org/obo/FOODON_03302978","MEDIUM","parmesan cheese (grated)","ONTOLOGY"
"Burger, beef, with bun, grilled, homemade","http://purl.obolibrary.org/obo/FOODON_03310244","MEDIUM","beef (grilled)","ONTOLOGY"
"Burger, beef, with bun, grilled, homemade","http://purl.obolibrary.org/obo/FOODON_03310776","MEDIUM","fruit punch homemade prepared with fruit","ONTOLOGY"
"Chicken, portions, not coated, deep-fried, meat and skin, weighed with bone","http://purl.obolibrary.org/obo/FOODON_03420265","MEDIUM","skeletal meat part, with bone, with skin","ONTOLOGY"
"Chicken, portions, not coated, deep-fried, meat and skin, weighed with bone","http://purl.obolibrary.org/obo/FOODON_03420266","MEDIUM","skeletal meat part, with bone, without skin","ONTOLOGY"
"Cheese, cream, extra light","http://purl.obolibrary.org/obo/FOODON_03400310","MEDIUM","extra hard cheese (codex)","ONTOLOGY"
"Cheese, cream, extra light","http://purl.obolibrary.org/obo/FOODON_03301889","MEDIUM","cream cheese","ONTOLOGY"
"Sweetcorn, kernels, boiled on the cob in unsalted water, weighed with core","http://purl.obolibrary.org/obo/FOODON_00003874","MEDIUM","corn on-the-cob (raw)","ONTOLOGY"
"Sweetcorn, kernels, boiled on the cob in unsalted water, weighed with core","http://purl.obolibrary.org/obo/FOODON_03301387","MEDIUM","corn on the cob (canned)","ONTOLOGY"
"Doughnuts, ring, iced","http://purl.obolibrary.org/obo/FOODON_03540281","MEDIUM","02810 - doughnuts-berliner (efsa foodex2)","ONTOLOGY"
"Doughnuts, ring, iced","http://purl.obolibrary.org/obo/FOODON_03301530","MEDIUM","iced tea (liquid)","ONTOLOGY"
"Pineapple juice concentrate, unsweetened, commercial","http://purl.obolibrary.org/obo/FOODON_03317015","MEDIUM","fruit juice concentrate (unsweetened)","ONTOLOGY"
"Pineapple juice concentrate, unsweetened, commercial","http://purl.obolibrary.org/obo/FOODON_03305240","MEDIUM","pineapple juice (unsweetened)","ONTOLOGY"
"Pr'esident French Brie Cheese 200g","http://purl.obolibrary.org/obo/FOODON_03303508","MEDIUM","brie cheese","ONTOLOGY"
"Pr'esident French Brie Cheese 200g","http://purl.obolibrary.org/obo/FOODON_00001028","MEDIUM","Brie cheese food product","ONTOLOGY"
"Spirits, 40% volume","http://purl.obolibrary.org/obo/FOODON_03315585","MEDIUM","spirits (extract of)","ONTOLOGY"
"Spirits, 40% volume","http://purl.obolibrary.org/obo/FOODON_03317463","MEDIUM","fruit spirits","ONTOLOGY"
"Schweppes Slimline Tonic 12 x 150ml","http://purl.obolibrary.org/obo/FOODON_03307660","MEDIUM","tonic water","ONTOLOGY"
"Schweppes Slimline Tonic 12 x 150ml","http://purl.obolibrary.org/obo/FOODON_03307195","MEDIUM","tonic mixer beverage base","ONTOLOGY"
"Bread, wholemeal, average","http://purl.obolibrary.org/obo/FOODON_03540154","MEDIUM","01540 - crisp bread, wheat, wholemeal (efsa foodex2)","ONTOLOGY"
"Bread, wholemeal, average","http://purl.obolibrary.org/obo/FOODON_03540151","MEDIUM","01510 - crisp bread, rye wholemeal (efsa foodex2)","ONTOLOGY"
"Quiche, Lorraine, homemade","http://purl.obolibrary.org/obo/FOODON_03310083","MEDIUM","quiche lorraine","ONTOLOGY"
"Quiche, Lorraine, homemade","http://purl.obolibrary.org/obo/FOODON_03307177","MEDIUM","quiche","ONTOLOGY"
"Lamb, stewing, stewed, lean","http://purl.obolibrary.org/obo/FOODON_03411669","MEDIUM","lamb","ONTOLOGY"
"Lamb, stewing, stewed, lean","http://purl.obolibrary.org/obo/FOODON_03414536","MEDIUM","forest lamb","ONTOLOGY"
"Pork, loin joint, roasted, lean","http://purl.obolibrary.org/obo/FOODON_03317320","MEDIUM","pork loin (uncooked, cured)","ONTOLOGY"
"Pork, loin joint, roasted, lean","http://purl.obolibrary.org/obo/FOODON_00002570","MEDIUM","pork loin","ONTOLOGY"
"Sauerkraut","http://purl.obolibrary.org/obo/FOODON_03301397","GOOD","sauerkraut","ONTOLOGY"
"Cheese, Brie, with outer rind removed","http://purl.obolibrary.org/obo/FOODON_03542769","MEDIUM","27690 - soft-ripened cheese with bloomy rind (white mould) (brie, camembert type) (efsa foodex2)","ONTOLOGY"
"Cheese, Brie, with outer rind removed","http://purl.obolibrary.org/obo/FOODON_03303508","MEDIUM","brie cheese","ONTOLOGY"
"Deluxe, Apple & Fig Chutney","http://purl.obolibrary.org/obo/NCBITaxon_3750","MEDIUM","Malus domestica","ONTOLOGY"
"Deluxe, Apple & Fig Chutney","http://purl.obolibrary.org/obo/NCBITaxon_221251","MEDIUM","Chrysophyllum cainito","ONTOLOGY"
"Mushrooms, fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03311693","MEDIUM","tomato (dried in sunflower oil)","ONTOLOGY"
"Mushrooms, fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03310357","MEDIUM","sunflower seed oil","ONTOLOGY"
"Asahi Super Dry 330ml","http://purl.obolibrary.org/obo/FOODON_03316213","MEDIUM","cereal (dry)","ONTOLOGY"
"Asahi Super Dry 330ml","http://purl.obolibrary.org/obo/FOODON_03301648","MEDIUM","tea (dry)","ONTOLOGY"
"M&S Roast Chicken Fillets","http://purl.obolibrary.org/obo/PO_0025496","MEDIUM","multi-tissue plant structure","ONTOLOGY"
"M&S Roast Chicken Fillets","http://purl.obolibrary.org/obo/PO_0025498","MEDIUM","cardinal part of multi-tissue plant structure","ONTOLOGY"
"Chicken goujons, premium, grilled/baked","http://purl.obolibrary.org/obo/FOODON_03311876","MEDIUM","chicken (baked)","ONTOLOGY"
"Chicken goujons, premium, grilled/baked","http://purl.obolibrary.org/obo/FOODON_03310169","MEDIUM","chicken thigh (oven-baked)","ONTOLOGY"
"Breakfast cereal, wheat biscuits, Weetabix type, fortified","http://purl.obolibrary.org/obo/FOODON_03310774","MEDIUM","breakfast cereal (fortified, hot)","ONTOLOGY"
"Breakfast cereal, wheat biscuits, Weetabix type, fortified","http://purl.obolibrary.org/obo/FOODON_03311444","MEDIUM","wheat bran breakfast cereal","ONTOLOGY"
"Coffee, infusion, strong","http://purl.obolibrary.org/obo/FOODON_03543718","MEDIUM","37180 - barley coffee infusion (efsa foodex2)","ONTOLOGY"
"Coffee, infusion, strong","http://purl.obolibrary.org/obo/FOODON_03543703","MEDIUM","37030 - coffee (strong) beverage (efsa foodex2)","ONTOLOGY"
"Milk, semi-skimmed, pasteurised, average","http://purl.obolibrary.org/obo/FOODON_03315630","MEDIUM","cow milk (semi-skimmed, flavored)","ONTOLOGY"
"Milk, semi-skimmed, pasteurised, average","http://purl.obolibrary.org/obo/FOODON_03307458","MEDIUM","cow milk (semi-skimmed)","ONTOLOGY"
"Sugar, caster","http://purl.obolibrary.org/obo/FOODON_03420108","GOOD","sugar","ONTOLOGY"
"Sandwich, white bread, tuna mayonnaise","http://purl.obolibrary.org/obo/FOODON_03307771","MEDIUM","tuna salad sandwich","ONTOLOGY"
"Sandwich, white bread, tuna mayonnaise","http://purl.obolibrary.org/obo/FOODON_03301055","MEDIUM","white bread","ONTOLOGY"
"Walkers BBQ Pulled Pork Crisps 32.5g","http://purl.obolibrary.org/obo/FOODON_03306869","MEDIUM","peanut butter with smoky crisps","ONTOLOGY"
"Walkers BBQ Pulled Pork Crisps 32.5g","http://purl.obolibrary.org/obo/FOODON_03544035","MEDIUM","40350 - chips/crisps (efsa foodex2)","ONTOLOGY"
"Sweet Potato, french fries","http://purl.obolibrary.org/obo/FOODON_03543891","GOOD","38910 - french fries from cut potato (efsa foodex2)","ONTOLOGY"
"Asda Chosen by You Jam Roly Poly Mix 320g","http://purl.obolibrary.org/obo/FOODON_03305786","MEDIUM","jam mix","ONTOLOGY"
"Asda Chosen by You Jam Roly Poly Mix 320g","http://purl.obolibrary.org/obo/FOODON_03304852","MEDIUM","fruit jam and jelly mix","ONTOLOGY"
"Bananas, flesh only","http://purl.obolibrary.org/obo/FOODON_03401415","MEDIUM","10005897 - bananas (gs1 gpc)","ONTOLOGY"
"Bananas, flesh only","http://purl.obolibrary.org/obo/FOODON_03401336","MEDIUM","50250700 - bananas (gs1 gpc)","ONTOLOGY"
"BOUNTY(R) Milk 2 x 28.5g (57g)","http://purl.obolibrary.org/obo/FOODON_03311086","MEDIUM","lowfat cow milk (2%)","ONTOLOGY"
"BOUNTY(R) Milk 2 x 28.5g (57g)","http://purl.obolibrary.org/obo/FOODON_03303693","MEDIUM","cheese (2% milk)","ONTOLOGY"
"Porridge, made with water","http://purl.obolibrary.org/obo/FOODON_03305092","MEDIUM","candy made with whiskey","ONTOLOGY"
"Porridge, made with water","http://purl.obolibrary.org/obo/FOODON_03311555","MEDIUM","porridge","ONTOLOGY"
"Flax Seed (milled or whole)","http://purl.obolibrary.org/obo/FOODON_00003108","GOOD","barley seed (whole, raw)","ONTOLOGY"
"Sandwich, white bread, cheddar cheese and pickle","http://purl.obolibrary.org/obo/FOODON_03307775","GOOD","pimiento cheese and pickle sandwich spread","ONTOLOGY"
"Swede, boiled in unsalted water, flesh only","http://purl.obolibrary.org/obo/FOODON_03306860","MEDIUM","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Swede, boiled in unsalted water, flesh only","http://purl.obolibrary.org/obo/FOODON_03316682","MEDIUM","fish flesh (minced, quick-frozen in blocks)","ONTOLOGY"
"Gravy instant granules, made up with water","http://purl.obolibrary.org/obo/FOODON_03544071","MEDIUM","40710 - gravy instant granules (efsa foodex2)","ONTOLOGY"
"Gravy instant granules, made up with water","http://purl.obolibrary.org/obo/FOODON_03310574","MEDIUM","tea made from instant mix","ONTOLOGY"
"Potatoes, roasted in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03311693","MEDIUM","tomato (dried in sunflower oil)","ONTOLOGY"
"Potatoes, roasted in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03306513","MEDIUM","nut (roasted in vegetable oil)","ONTOLOGY"
"Lion Milk Chocolate Bar 50g","http://purl.obolibrary.org/obo/FOODON_00003879","MEDIUM","milk chocolate bar","ONTOLOGY"
"Lion Milk Chocolate Bar 50g","http://purl.obolibrary.org/obo/FOODON_03303766","MEDIUM","milk chocolate-flavored candy bar","ONTOLOGY"
"Sainsbury's Angel Cake 250g","http://purl.obolibrary.org/obo/FOODON_03307734","GOOD","angel food cake","ONTOLOGY"
"Pancakes, sweet, made with semi skimmed milk, homemade","http://purl.obolibrary.org/obo/FOODON_03315630","MEDIUM","cow milk (semi-skimmed, flavored)","ONTOLOGY"
"Pancakes, sweet, made with semi skimmed milk, homemade","http://purl.obolibrary.org/obo/FOODON_03307458","MEDIUM","cow milk (semi-skimmed)","ONTOLOGY"
"Orange juice, from concentrate","http://purl.obolibrary.org/obo/FOODON_03305984","MEDIUM","reconstituted orange juice (from concentrate)","ONTOLOGY"
